ID;start_ID;end_ID
830;RL35131692;RL35131788
831;RL35131846;RL35131681
832;RL35151439;RL35132002
833;RL35131846;RL35132177
834;RL35132072;RL35132215
835;RL35131846;RL35132464
836;RL35131846;RL35131950
837;RL35132119;RL35132000
838;RL35131399;RL35131104
839;RL35131399;RL35131190
840;RL35133343;RL35131270
841;RL35131546;RL35131159
842;RL35131298;RL35131139
843;RL35131546;RL35130930
844;RL35133343;RL35130362
845;RL35130079;RL35129993
846;RL35130635;RL35130388
847;RL35130635;RL35129834
848;RL35133343;RL35129106
849;RL35133343;RL35127599
850;RL35130042;RL35129709
851;RL35130393;RL35128971
852;RL35129030;RL35150682
853;RL35127114;RL35128410
854;RL35129873;RL35129038
855;RL35127114;RL35128336
856;RL35127114;RL35128194
857;RL35127114;RL35128031
858;RL35129335;RL35128988
859;RL35129335;RL35128629
860;RL35132558;RL35132604
861;RL35132558;RL35132283
862;RL35132558;RL35132071
863;RL35132227;RL35131200
864;RL35132558;RL35130737
865;RL35132558;RL35130417
866;RL35132536;RL35132150
867;RL35151176;RL35132065
868;RL35151240;RL35131941
869;RL35151176;RL35130665
870;RL35132558;RL35129435
871;RL35149040;RL35131143
872;RL35149047;RL35131142
873;RL35149040;RL35130258
874;RL35149040;RL35129666
875;RL35131911;RL35131286
876;RL35131490;RL35131046
877;RL35131911;RL35130954
878;RL35131911;RL35129795
879;RL35129412;RL35129670
880;RL35149040;RL35129681
881;RL35127114;RL35128191
882;RL35151333;RL35130137
